Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Cover Art
29093292,"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",Ryan Holiday,"Holiday, Ryan",Stephen Hanselman,"=""""","=""""",0,4.32,Portfolio,Hardcover,416,2016,2016,,2019/07/14,to-read,to-read (#90),to-read,,,,0,0,
410632,The Book of General Ignorance,John Lloyd,"Lloyd, John","John Mitchinson, Stephen Fry, Alan Davies","=""0307394913""","=""9780307394910""",0,3.76,Harmony,Hardcover,252,2007,2006,,2019/07/14,to-read,to-read (#89),to-read,,,,0,0,
39319247,A Day in the Life of Marlon Bundo,Jill Twiss,"Twiss, Jill",E.G. Keller,"=""145217380X""","=""9781452173801""",5,4.62,Chronicle Books,Hardcover,34,2018,2018,,2019/07/14,,,read,,,,1,0,
923847,The Sopranos: The Book,Brett Martin,"Martin, Brett",,"=""1933821876""","=""9781933821870""",0,4.13,Liberty Street,Paperback,192,2007,2007,,2019/07/14,to-read,to-read (#88),to-read,,,,0,0,
15798410,"Suicide Squad, Volume 2: Basilisk Rising",Adam Glass,"Glass, Adam","Dan Abnett, Andy Lanning, Fernando Dagnino, Federico Dallocchio, Jesus Saiz, Andres Guinaldo, Mark   Irwin, Christian Alamy, Cliff Richards","=""1401238440""","=""9781401238445""",0,3.68,DC Comics,Paperback,192,2013,2013,,2019/07/14,to-read,to-read (#87),to-read,,,,0,0,
10862724,Batman: The Long Halloween,Jeph Loeb,"Loeb, Jeph",Tim Sale,"=""1401232590""","=""9781401232597""",0,4.32,DC Comics,Paperback,384,2011,1997,,2019/07/14,to-read,to-read (#86),to-read,,,,0,0,
2414524,Batman: The Dark Knight Returns,Frank Miller,"Miller, Frank","Klaus Janson, Lynn Varley","=""0613536703""","=""9780613536707""",0,4.26,Turtleback Books,Library Binding,224,1997,1986,,2019/06/18,to-read,to-read (#50),to-read,,,,0,0,
106076,Batman: Dark Victory,Jeph Loeb,"Loeb, Jeph",Tim Sale,"=""1563898683""","=""9781563898686""",0,4.15,DC Comics,Paperback,391,2002,2000,,2019/07/14,to-read,to-read (#85),to-read,,,,0,0,
1648439,Making History,Stephen Fry,"Fry, Stephen",,"=""0091791413""","=""9780091791414""",0,3.94,Random House,Hardcover,320,1996,1996,,2019/07/14,to-read,to-read (#84),to-read,,,,0,0,
6752187,Introduction to Algorithms,Thomas H. Cormen,"Cormen, Thomas H.","Charles E. Leiserson, Ronald L. Rivest, Clifford Stein","=""0262033844""","=""9780262033848""",0,4.34,MIT Press,Hardcover,1312,2009,,,2019/07/14,to-read,to-read (#83),to-read,,,,0,0,
